news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,recommendations,title,language,article_length,number_subheaders,forbidden_pattern
cicero,https://www.cicero.de/innenpolitik/afd-rechts-nazis-links,"['migration', 'zuwander', 'einwander', 'migrant']",05.04.2019,05.04.2019,26.11.2020,['Ralf Schuler'],[],"['rechts', 'links', 'Merkel', 'Mitte', 'Nazis', 'AfD', 'Radikalisierung']",[],AfD - Rechts ist keine Krankheit,de,10826,7,False
cicero,https://www.cicero.de/kultur/angela-merkel-fluechtlingskrise-willkommenskultur-,"['zuwander', 'migration', 'migrant', 'flüchtl', 'asyl']",26.02.2019,26.02.2019,27.11.2020,['Alexander Kissler'],[],"['Angela Merkel (1025', 'Flüchtlingskrise', 'Willkommenskultur']",[],Rhetorik von Angela Merkel - Der verhängnisvollste Satz der Kanzlerin,de,6426,3,False
cicero,https://www.cicero.de/innenpolitik/presseschau-landtagswahlen-sachsen-brandenburg-afd-cdu-spd-merkel,"['ausländer', 'einwander']",02.09.2019,02.09.2019,26.11.2020,[],['Cicero-Redaktion'],"['Landtagswahlen', 'Sachsen', 'Brandenburg', 'AfD', 'CDU', 'SPD']",[],Internationale Presseschau zu den Landtagswahlen 2019 - „Zwei deutsche Wahlniederlagen lösen paradoxe Erleichterung aus“,de,2495,8,False
cicero,https://www.cicero.de/kultur/buch-vorabdruck-reinhard-mohr-mitte-zeitgeist,"['geflücht', 'einwander', 'migrant']",27.05.2021,27.05.2021,11.01.2022,['Reinhard Mohr'],[],"['Zeitgeist', 'Mitte', 'Gender-Debatte']",[],Moral zum Mitnehmen - Das I-Wort und das Z-Schnitzel,de,8640,1,False
cicero,https://www.cicero.de/innenpolitik/landtagswahl-sachsen-freital-cdu-candido-mahoche-afd,"['flüchtl', 'asyl', 'ausländer', 'migrant']",27.08.2019,27.08.2019,26.11.2020,['Im Wirklichen Leben'],[],"['Sachsen', 'Landtagswahlen', 'CDU', 'Freital', 'Rassismus', 'Schwarze', 'AfD']",[],"Landtagswahl in Sachsen - „In der AfD sind jetzt Leute, die früher in der CDU nichts zu sagen hatten“",de,9774,0,False
cicero,https://www.cicero.de/innenpolitik/ibrahim-miri-clan-chef-bremen-abschiebung-asylrecht/plus,"['flüchtl', 'asyl', 'ausländer', 'migration']",26.11.2019,26.11.2019,26.11.2020,['Antje Hildebrandt'],[],"['Ibrahim Miri', 'Abschiebung', 'Asylrecht', 'Bundesamt für Migration und Flüchtlinge']",[],Der Fall Miri – Schluss mit der Trickserei!,de,6813,5,False
cicero,https://www.cicero.de/innenpolitik/proteste-rassismus-spaltung-identitaetspolitik-schwarze,"['flüchtl', 'einwander', 'migrant']",10.06.2020,10.06.2020,25.11.2020,['Michael Sommer'],[],"['Identitätspolitik', 'Schwarze', 'Saskia Esken', 'Rassismus']",[],Proteste gegen Rassismus - Opfer der eigenen Vorurteile,de,5590,5,False
cicero,https://www.cicero.de/innenpolitik/oeffentlicher-dienst-gewerkschaften-beamte-tarif-vertraege,"['asyl', 'zuwander']",22.02.2019,22.02.2019,26.11.2020,['Wolfgang Bok'],[],"['verdi', 'Gewerkschaft', 'Gewerkschaften', 'Tarifverträge', 'öffentlicher Dienst']",[],Öffentlicher Dienst - Immer höhere Löhne auf Steuerzahlerkosten,de,6080,3,False
cicero,https://www.cicero.de/aussenpolitik/gruene-europawahl-robert-habeck-annalena-baerbock,"['flüchtl', 'zuwander']",28.05.2019,28.05.2019,26.11.2020,['Dieter Rulff'],[],"['Grüne', 'Europawahl', 'Robert Habeck', 'Annalena Baerbock']",[],Europawahl  - Prima Klima für die Grünen,de,9103,7,False
cicero,https://www.cicero.de/aussenpolitik/niederlande-parteiensystem-deutschland-landtagswahlen-fragmentierung,"['einwander', 'migrant']",21.03.2021,21.03.2021,12.01.2022,['Michael Sommer'],[],"['Parteiensystem', 'Niederlande', 'Deutschland', 'Bundestagswahl']",[],Der Wandel des niederländischen und deutschen Parteiensystems - Der hochkompetitive Wählermarkt,de,9258,7,False
